# age (months), height (cm)
225.50 176.53
228.50 163.26
188.50 172.70
123.50 140.04
98.50 129.10
140.50 149.07
70.50 113.84
234.50 176.75
24.50 85.40
148.50 153.73
71.50 115.12
64.50 110.31
217.50 176.23
96.50 128.12
240.00 163.34
165.50 159.91
135.50 146.02
113.50 135.91
73.50 116.20
200.50 162.83
130.50 142.89
190.50 173.18
206.50 175.53
193.50 173.81
140.50 147.31
230.50 176.67
172.50 161.08
95.50 127.63
75.50 117.27
60.50 107.96
214.50 163.10
100.50 130.06
191.50 173.40
84.50 122.03
109.50 133.55
88.50 124.10
199.50 174.77
67.50 112.97
122.50 139.64
39.50 95.95
157.50 157.06
199.50 162.80
208.50 163.00
184.50 162.18
162.50 159.21
99.50 129.58
31.50 92.02
65.50 110.90
92.50 125.90
68.50 113.51
78.50 118.45
238.50 163.33
87.50 123.35
61.50 108.54
91.50 125.40
89.50 124.62
96.50 127.83
223.50 176.47
227.50 163.25
33.50 92.40
120.50 138.21
107.50 132.71
93.50 126.64
67.50 112.08
137.50 145.91
32.50 92.70
34.50 93.03
44.50 100.19
121.50 138.66
73.50 115.59
122.50 139.12
221.50 163.19
33.50 93.36
78.50 118.87
72.50 115.01
49.50 103.08
146.50 150.38
192.50 162.57
58.50 108.08
118.50 138.00
219.50 176.32
155.50 155.76
151.50 153.26
164.50 161.65
197.50 162.74
195.50 174.17
44.50 98.78
47.50 100.47
173.50 161.21
144.50 149.31
234.50 163.30
128.50 142.07
81.50 120.13
110.50 134.62
194.50 173.99
239.50 176.84
182.50 170.88
227.50 176.59
53.50 103.89
27.50 89.18
182.50 162.04
105.50 131.86
128.50 142.07
203.50 175.24
204.50 175.34
229.50 163.27
204.50 162.92
117.50 137.59
114.50 135.63
80.50 119.57
162.50 160.35
232.50 163.29
63.50 109.72
127.50 141.55
117.50 136.90
224.50 163.22
71.50 114.42
132.50 144.26
59.50 108.63
123.50 139.58
52.50 104.77
141.50 149.68
200.50 174.90
108.50 133.13
212.50 163.07
156.50 157.34
51.50 102.74
24.00 84.98
212.50 175.97
41.50 98.40
176.50 161.54
24.00 86.45
165.50 162.29
147.50 153.19
43.50 99.60
160.50 158.66
130.50 143.14
195.50 162.68
155.50 156.96
75.50 116.74
107.50 133.29
28.50 88.81
69.50 114.05
112.50 134.80
186.50 162.29
177.50 161.64
93.50 126.39
66.50 111.49
126.50 141.04
53.50 105.33
164.50 159.69
58.50 106.79
28.50 89.91
120.50 138.82
179.50 161.82
207.50 162.99
159.50 158.36
77.50 118.33
169.50 160.64
169.50 164.74
157.50 157.70
201.50 175.02
216.50 163.13
148.50 151.50
46.50 99.90
85.50 122.55
26.50 87.16
40.50 97.79
32.50 91.74
190.50 162.49
104.50 131.43
228.50 176.62
62.50 109.13
213.50 163.09
222.50 163.20
37.50 95.91
30.50 90.33
25.50 87.65
161.50 159.69
41.50 97.08
50.50 102.17
50.50 103.65
214.50 176.08
178.50 169.32
152.50 153.87
98.50 128.76
142.50 148.29
68.50 112.66
193.50 162.61
51.50 104.21
45.50 100.78
218.50 163.16
74.50 116.73
144.50 151.49
174.50 167.46
113.50 135.22
226.50 163.24
136.50 145.46
210.50 175.84
129.50 142.48
82.50 120.98
49.50 101.60
189.50 172.95
171.50 165.88
26.50 88.42
79.50 119.01
36.50 95.27
135.50 145.02
116.50 136.48
218.50 176.28
150.50 154.76
55.50 105.04
131.50 143.69
29.50 90.63
205.50 175.44
236.50 163.32
180.50 161.90
149.50 152.07
